"Date","Price","Open","High","Low","Vol.","Change %"
"12/04/2022","31,545","31,545","31,545","31,545","","0.00%"
"12/02/2022","31,545","32,150","32,150","31,545","5.04M","-2.23%"
"12/01/2022","32,265","32,535","32,610","32,210","5.28M","0.59%"
"11/30/2022","32,075","31,430","32,075","31,430","2.61M","1.50%"
"11/29/2022","31,600","31,230","31,610","31,160","2.56M","1.14%"
"11/28/2022","31,245","31,430","31,440","31,165","3.68M","-1.22%"
"11/27/2022","31,630","31,630","31,630","31,630","","0.00%"
"11/25/2022","31,630","31,780","31,815","31,620","2.91M","-0.41%"
"11/24/2022","31,760","31,685","31,775","31,565","4.69M","0.94%"
"11/23/2022","31,465","31,480","31,565","31,345","4.65M","0.67%"
"11/22/2022","31,255","31,405","31,555","31,255","4.48M","-0.71%"
"11/21/2022","31,480","31,800","31,810","31,375","6.13M","-0.77%"
"11/18/2022","31,725","31,795","32,105","31,700","4.53M","-0.22%"
"11/17/2022","31,795","32,050","32,085","31,755","4.16M","-1.32%"
"11/16/2022","32,220","32,345","32,345","31,870","5.38M","-0.19%"
"11/15/2022","32,280","32,285","32,355","32,065","3.96M","0.28%"
"11/14/2022","32,190","32,435","32,520","32,170","5.61M","-0.63%"
"11/13/2022","32,395","32,395","32,395","32,395","","0.00%"
"11/11/2022","32,395","32,140","32,430","32,105","10.66M","4.01%"
"11/10/2022","31,145","31,300","31,525","31,145","5.45M","-1.25%"
"11/09/2022","31,540","31,375","31,665","31,300","6.54M","0.99%"
"11/08/2022","31,230","31,020","31,295","30,945","6.57M","1.45%"
"11/07/2022","30,785","30,555","30,830","30,485","4.93M","1.07%"
